,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_percent
462,Villacarrillo,1578240889,38.12,-3.08,284.82,284.82,284.82,64,1.5,0
463,Ihosy,1578240889,-22.4,46.13,297.45,297.45,297.45,66,5.7,9
464,Reconquista,1578240889,-29.14,-59.64,306.8,306.8,306.8,22,3.24,0
465,Eydhafushi,1578240889,5.1,73.07,301.06,301.06,301.06,79,5.21,32
466,Bonavista,1578240890,48.65,-53.11,272.19,272.19,272.19,88,4.03,67
467,Moramanga,1578240890,-18.95,48.23,293.35,293.35,293.35,94,2.06,80
468,Bijie,1578240890,27.3,105.3,281.46,281.46,281.46,89,1.97,67
469,Sur,1578240890,22.57,59.53,296.7,296.7,296.7,55,8.46,27
470,Mecca,1578240714,21.43,39.83,292.47,292.47,292.47,37,4.98,0
471,Raymond,1578240631,49.47,-112.67,268.15,268.15,268.15,73,4.6,20
472,Palermo,1578240890,2.89,-75.43,303.15,303.15,303.15,58,5.7,20
473,Manzhouli,1578240891,49.6,117.43,256.62,256.62,256.62,95,3.21,100
474,Chuguyevka,1578240891,44.17,133.87,255.83,255.83,255.83,89,0.85,0
475,Phan Thiet,1578240891,10.93,108.1,293.17,293.17,293.17,82,1.04,99
476,Saint-Pierre,1578240891,48.95,4.24,278.91,277.59,280.15,86,2.6,0
477,Constitucion,1578240891,23.99,-104.67,278.07,276.15,279.82,74,1.01,5
478,Dolores,1578240891,-33.53,-58.22,301.48,301.48,301.48,55,2.68,0
479,Tazovskiy,1578240672,67.47,78.7,266.17,266.17,266.17,88,9.4,88
480,Bannu,1578240892,32.99,70.6,281.94,281.94,281.94,75,1.99,100
481,Saint-Joseph,1578240892,43.56,6.97,284.74,279.82,289.15,71,1.5,0
482,Yuci,1578240892,37.68,112.73,271.15,271.15,271.15,86,1.0,90
483,Oranjemund,1578240892,-28.55,16.43,295.09,295.09,295.09,65,7.83,0
484,Aitape,1578240892,-3.15,142.36,301.41,301.41,301.41,81,5.63,98
485,Hualmay,1578240892,-11.1,-77.61,298.79,298.79,298.79,60,3.4,58
486,Pyatnitskoye,1578240894,54.34,35.89,273.15,273.15,273.15,86,2.0,75
487,Macau,1578240894,-5.11,-36.64,300.35,300.35,300.35,74,5.82,100
488,Hobyo,1578240894,5.35,48.53,299.88,299.88,299.88,76,6.19,43
489,Coruripe,1578240894,-10.12,-36.18,300.78,300.78,300.78,72,6.33,100
490,Vestmannaeyjar,1578240895,63.44,-20.27,278.15,278.15,278.15,69,7.7,100
491,Hofn,1578240895,64.25,-15.21,277.15,277.15,277.15,68,7.7,20
492,Agogo,1578240895,6.8,-1.08,311.6,311.6,311.6,13,0.82,6
493,Nueve de Julio,1578240895,-31.67,-68.39,305.2,305.2,305.2,27,5.72,0
494,Raudeberg,1578240896,61.99,5.14,279.69,276.15,282.15,93,9.3,75
495,Bandarbeyla,1578240896,9.49,50.81,298.95,298.95,298.95,79,5.44,0
496,Talnakh,1578240896,69.49,88.39,266.15,266.15,266.15,100,12.0,75
497,Trairi,1578240896,-3.28,-39.27,302.61,302.61,302.61,57,2.06,94
498,Nchelenge,1578240896,-9.35,28.74,299.52,299.52,299.52,61,3.0,25
499,Santa Maria,1578240896,-16.02,-48.01,295.28,294.26,296.15,88,3.1,75
500,Pandamatenga,1578240896,-18.54,25.64,303.36,303.36,303.36,45,2.1,99
501,Rocha,1578240866,-34.48,-54.34,301.95,301.95,301.95,33,3.18,0
502,Victoria,1578240840,5.28,115.24,300.5,299.82,301.15,83,3.1,75
503,Belmonte,1578240897,40.36,-7.35,283.84,278.71,287.04,51,1.8,0
504,Wukari,1578240897,7.87,9.78,307.88,307.88,307.88,12,3.14,4
505,Half Moon Bay,1578240897,37.46,-122.43,278.57,275.15,282.04,93,6.02,1
506,Port Augusta,1578240897,-32.49,137.76,285.37,285.37,285.37,97,0.45,100
507,Henties Bay,1578240897,-22.12,14.28,292.59,292.59,292.59,81,0.89,84
508,Husavik,1578240898,50.56,-96.99,270.12,269.82,270.37,80,6.26,100
509,Berlevag,1578240898,70.86,29.09,269.18,268.15,270.15,85,4.6,75
510,Pahrump,1578240898,36.21,-115.98,275.85,271.15,278.71,86,1.5,1
511,Havelock,1578240687,34.88,-76.9,281.94,280.93,282.59,42,9.8,1
512,Goalpara,1578240898,26.18,90.62,286.66,286.66,286.66,81,2.17,0
513,Enshi,1578240898,30.29,109.48,279.7,279.7,279.7,97,0.28,100
514,Ossora,1578240898,59.24,163.07,261.15,261.15,261.15,95,1.78,93
515,Rosario,1578240899,-34.31,-57.35,302.11,301.15,303.15,58,3.6,75
516,Lysyye Gory,1578240899,51.55,44.84,272.56,272.56,272.56,98,3.95,100
517,Buston,1578240899,40.53,69.33,276.15,276.15,276.15,46,2.0,100
518,Santa Fe,1578240697,-31.62,-60.7,305.15,304.26,306.48,26,2.24,0
519,Xuddur,1578240899,4.12,43.89,305.33,305.33,305.33,31,4.3,35
520,Verkhniy Uslon,1578240899,55.77,48.98,272.15,272.15,272.15,86,3.0,90
521,Vanavara,1578240900,60.35,102.28,258.95,258.95,258.95,95,3.5,100
522,Tromso,1578240900,69.65,18.96,269.0,268.15,270.15,68,4.6,100
523,Hall,1578240900,47.6,14.46,274.45,273.15,275.37,97,2.1,100
524,Port Macquarie,1578240900,-31.43,152.91,294.81,294.15,295.37,88,4.6,75
525,Willmar,1578240627,45.12,-95.04,274.76,273.15,276.15,74,14.4,90
526,Terrace,1578240900,54.52,-128.61,273.15,273.15,273.15,93,9.8,90
527,San Patricio,1578240900,-26.98,-56.83,307.97,307.97,307.97,30,1.88,1
528,Kijang,1578240901,35.24,129.21,274.15,274.15,274.15,74,2.6,2
529,Sechura,1578240902,-5.56,-80.82,295.11,295.11,295.11,84,2.74,28
530,Hambantota,1578240902,6.12,81.12,299.15,299.15,299.15,94,3.1,20
531,Luau,1578240902,-10.7,22.23,299.01,299.01,299.01,69,2.01,100
532,Bereda,1578240902,43.27,-7.54,284.24,282.04,285.37,66,1.0,0
